City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
554,Tabuk,PH,87.12,17.4189,121.4443,Golden Berries Hotel and Convention
557,Marzuq,YE,81.07,14.4,46.4667,
559,Dongsheng,CN,79.93,39.8161,109.9776,Crowne Plaza Ordos
562,Saint Charles,US,75.67,38.7667,-90.7335,Hilton Garden Inn St. Louis/O'Fallon MO
565,Kavieng,PG,84.96,-2.5744,150.7967,Nusa Island Retreat
566,Berbera,SO,88.9,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
569,Mana,GF,75.78,5.6592,-53.7767,LE SAMANA
573,Miyako,JP,78.01,39.6367,141.9525,Hotel Route Inn Miyako
574,Netanya,IL,75.22,32.3329,34.8599,King Koresh Hotel
579,Juruti,BR,76.5,-2.1522,-56.0922,Pousada Marupiara
580,Tautira,PF,77.04,-17.7333,-149.15,Pension Oaoa
584,Thinadhoo,MV,83.23,0.5333,72.9333,
587,Erzin,TR,80.2,36.9559,36.2,Artemis Otel
590,Kidal,ML,89.08,18.4411,1.4078,
593,Lookan,PH,83.89,5.037,120.1027,
594,Semporna,MY,86.05,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
595,Kerman,IR,80.46,30.2832,57.0788,هتل آپارتمان آسام
597,Makat,KZ,84.04,47.6469,53.3463,Umit
600,Puerto Escondido,MX,78.53,15.85,-97.0667,Aldea del Bazar Hotel and Spa
601,Naraina,IN,82.71,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
603,Lebedinyy,RU,83.57,58.5167,125.5167,
605,Sandpoint,US,80.02,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
607,Beatrice,US,77.09,40.2681,-96.747,Victorian Inn Beatrice
608,Statesville,US,78.89,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
611,Churapcha,RU,88.63,62.0025,132.4325,"""Tusku"""
612,Anakapalle,IN,85.95,17.6833,83.0167,Satya Lodge
613,Port Moresby,PG,80.29,-9.4431,147.1797,Lamana Hotel (Port Moresby)
614,Tezu,IN,79.32,27.9167,96.1667,Circuit House
616,Port Blair,IN,84.85,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
619,Ca Mau,VN,89.15,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
623,Hohhot,CN,78.37,40.8106,111.6522,Sheraton Hohhot Hotel
624,Granadilla De Abona,ES,76.98,28.1188,-16.576,Hotel Rural Senderos De Abona
625,Rock Sound,BS,81.73,24.9,-76.2,Pink Corral Bay Property
626,Labuhan,ID,86.47,-6.8844,112.2051,DoubleFAG
629,Sinnamary,GF,76.42,5.3833,-52.95,ALETHEIA Appartement Sinnamary
632,Marsa Matruh,EG,76.91,31.3525,27.2453,Beau Site
633,Guane,CU,77.65,22.2025,-84.0875,base de Campismo LosPortales de Guane
634,Abu Samrah,SY,79.05,35.3029,37.1841,
637,Malibu,US,77.56,34.005,-118.8101,Malibu Country Inn
638,Banjar,ID,86.68,-8.19,114.9675,The Hamsa Resort
640,Bubaque,GW,79.9,11.2833,-15.8333,"Casa Dora, Bubaque"
641,Kamaishi,JP,78.04,39.2667,141.8833,Hotel Route Inn Kamaishi
642,Batagay-Alyta,RU,82.99,67.8006,130.4114,
648,Sawai Madhopur,IN,79.77,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
650,Redmond,US,84.97,47.674,-122.1215,Seattle Marriott Redmond
651,Shingu,JP,85.3,33.7333,135.9833,Shingu UI Hotel
652,Robinson,US,89.6,31.4677,-97.1147,Flat Creek Farms RV Resort
654,Williams Lake,CA,76.93,52.1415,-122.1445,Stampeder Motel
655,Juegang,CN,89.35,32.3174,121.1855,Rudong Y Hotel
659,Lakatoro,VU,81.5,-16.0999,167.4164,Lakatoro Palm Lodge
660,Villa Union,MX,85.01,23.2,-106.2333,My Fantasy Auto-Hotel
661,Hayden,US,85.15,47.766,-116.7866,Triple Play Resort Hotel & Suites
662,Rosetta,EG,77.27,31.4044,30.4164,Green Valley
663,Batticaloa,LK,82.49,7.7102,81.6924,Grand Star Guest House
669,Tha Maka,TH,87.91,13.9,99.7667,ชบาแก้ว รีสอร์ท
