City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Pisco,-13.7,-76.2167,59.05,82,20,3.44,PE,2022-07-28 03:53:14
117,Qasigiannguit,68.8193,-51.1922,38.28,94,100,0.38,GL,2022-07-28 03:53:12
118,Itoman,26.1247,127.6694,88.18,74,75,9.22,JP,2022-07-28 03:53:14
119,Wajir,1.7471,40.0573,71.56,68,0,0.0,KE,2022-07-28 03:53:15
120,Tasiilaq,65.6145,-37.6368,35.82,96,92,5.53,GL,2022-07-28 03:53:15
121,Sembakung,3.8167,117.25,87.62,66,89,1.95,ID,2022-07-28 03:53:15
122,Kattivakkam,13.2167,80.3167,87.89,81,58,5.32,IN,2022-07-28 03:53:16
123,Oistins,13.0667,-59.5333,80.69,74,40,19.57,BB,2022-07-28 03:53:16
124,Carroll,39.5501,-77.0164,79.5,85,100,4.0,US,2022-07-28 03:53:16
125,Kodiak,57.79,-152.4072,56.71,62,0,8.05,US,2022-07-28 03:49:09
126,Sao Joao Dos Patos,-6.495,-43.7022,73.99,46,96,3.85,BR,2022-07-28 03:53:17
127,Putina,-15.4667,-69.4333,41.38,51,9,4.61,PE,2022-07-28 03:53:17
128,Sao Filipe,14.8961,-24.4956,78.26,88,92,3.98,CV,2022-07-28 03:53:17
129,Moose Factory,51.2585,-80.6094,64.4,100,100,3.44,CA,2022-07-28 03:53:18
130,Denpasar,-8.65,115.2167,83.86,74,40,17.27,ID,2022-07-28 03:51:31
131,Kemijarvi,66.7131,27.4306,52.11,78,47,8.95,FI,2022-07-28 03:53:12
132,Kloulklubed,7.0419,134.2556,84.22,71,100,7.56,PW,2022-07-28 03:53:18
133,Dingle,10.9995,122.6711,87.67,70,99,11.12,PH,2022-07-28 03:49:41
134,Aswan,24.0934,32.907,85.3,16,0,5.75,EG,2022-07-28 03:53:19
135,Lagoa,39.05,-27.9833,71.13,81,0,7.27,PT,2022-07-28 03:54:19
136,Dikson,73.5069,80.5464,40.55,94,61,13.49,RU,2022-07-28 03:54:20
137,San Andres,12.5847,-81.7006,82.42,100,40,8.05,CO,2022-07-28 03:54:20
138,Rio Grande,-32.035,-52.0986,58.95,96,98,7.38,BR,2022-07-28 03:54:20
139,Kudahuvadhoo,2.6708,72.8944,82.54,73,98,14.97,MV,2022-07-28 03:49:38
140,Lucapa,-8.4192,20.7447,61.32,38,72,3.49,AO,2022-07-28 03:54:21
141,Port Alfred,-33.5906,26.891,63.79,82,89,20.11,ZA,2022-07-28 03:54:21
142,Georgetown,5.4112,100.3354,89.53,73,20,9.22,MY,2022-07-28 03:54:21
143,Brae,60.3964,-1.353,51.24,80,61,6.64,GB,2022-07-28 03:50:43
144,Gornopravdinsk,60.05,69.9,63.3,60,99,9.33,RU,2022-07-28 03:54:22
145,Cidreira,-30.1811,-50.2056,61.11,88,100,4.81,BR,2022-07-28 03:54:22
146,Sokolo,14.7328,-6.1219,82.62,66,4,16.4,ML,2022-07-28 03:54:22
147,Vila,42.0304,-8.1588,52.68,85,4,1.01,PT,2022-07-28 03:54:23
148,Linjiang,41.8069,126.9078,87.62,51,100,0.76,CN,2022-07-28 03:54:23
149,Atuona,-9.8,-139.0333,77.63,73,21,24.16,PF,2022-07-28 03:54:23
150,Souillac,-20.5167,57.5167,68.38,88,40,6.91,MU,2022-07-28 03:54:24
151,Panguipulli,-39.6333,-72.3333,42.94,97,88,1.12,CL,2022-07-28 03:54:24
152,Puerto Cabezas,14.0351,-83.3888,77.32,88,3,6.6,NI,2022-07-28 03:54:24
153,Karratha,-20.7377,116.8463,79.86,36,0,18.14,AU,2022-07-28 03:54:25
154,Thompson,55.7435,-97.8558,59.16,88,75,2.3,CA,2022-07-28 03:54:25
155,Panlaitan,12.1191,119.8486,85.78,73,89,10.92,PH,2022-07-28 03:54:25
156,Tuatapere,-46.1333,167.6833,44.69,93,100,3.65,NZ,2022-07-28 03:54:26
157,Verkhniy Uslon,55.7701,48.9823,66.42,88,33,4.65,RU,2022-07-28 03:54:26
